sinifPath,sinifIsmi,dersPath,dersIsmi,flipbookKitapLink,pdfIndirmeLink,zipIndirmeLink,kitapThumbnailLink
gorsel-sanatlar-12,12. Sınıf,gorsel-sanatlar,Görsel Sanatlar,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/cdst-12/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/cdst-12/cdst-12.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/cdst-12/cdst-12.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/cdst-12/files/mobile/2.jpg
gorsel-sanatlar-12,12. Sınıf,gorsel-sanatlar,Görsel Sanatlar,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/desen-12/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/desen-12/desen-12.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/desen-12/desen-12.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/desen-12/files/mobile/2.jpg
gorsel-sanatlar-12,12. Sınıf,gorsel-sanatlar,Görsel Sanatlar,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/fotograf-9-12/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/fotograf-9-12/fotograf-9-12.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/fotograf-9-12/fotograf-9-12.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/fotograf-9-12/files/mobile/2.jpg
gorsel-sanatlar-12,12. Sınıf,gorsel-sanatlar,Görsel Sanatlar,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/ebru-12/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/ebru-12/ebru-12.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/ebru-12/ebru-12.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/ebru-12/files/mobile/2.jpg
gorsel-sanatlar-12,12. Sınıf,gorsel-sanatlar,Görsel Sanatlar,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/sanat-atolye-12/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/sanat-atolye-12/sanat-atolye-12.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/sanat-atolye-12/sanat-atolye-12.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/sanat-atolye-12/files/mobile/2.jpg
gorsel-sanatlar-12,12. Sınıf,gorsel-sanatlar,Görsel Sanatlar,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/imgesel-resim-12/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/imgesel-resim-12/imgesel-resim-12.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/imgesel-resim-12/imgesel-resim-12.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/imgesel-resim-12/files/mobile/2.jpg
gorsel-sanatlar-12,12. Sınıf,gorsel-sanatlar,Görsel Sanatlar,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/muze-egitimi-9-12/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/muze-egitimi-9-12/muze-egitimi-9-12.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/muze-egitimi-9-12/muze-egitimi-9-12.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/muze-egitimi-9-12/files/mobile/2.jpg
gorsel-sanatlar-12,12. Sınıf,gorsel-sanatlar,Görsel Sanatlar,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/muze-egitimi-12/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/muze-egitimi-12/muze-egitimi-12.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/muze-egitimi-12/muze-egitimi-12.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/muze-egitimi-12/files/mobile/2.jpg
gorsel-sanatlar-12,12. Sınıf,gorsel-sanatlar,Görsel Sanatlar,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/sanat-eserleri-analizi-12/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/sanat-eserleri-analizi-12/sanat-eserleri-analizi-12.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/sanat-eserleri-analizi-12/sanat-eserleri-analizi-12.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/sanat-eserleri-analizi-12/files/mobile/2.jpg
gorsel-sanatlar-12,12. Sınıf,gorsel-sanatlar,Görsel Sanatlar,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/uc-boyutlu-sanat-12/index.html,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/uc-boyutlu-sanat-12/uc-boyutlu-sanat-12.pdf,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/uc-boyutlu-sanat-12/uc-boyutlu-sanat-12.zip,https://ogmmateryal.eba.gov.tr/kitap/guzel-sanatlar-lisesi/gorsel-sanatlar/uc-boyutlu-sanat-12/files/mobile/2.jpg
