sinifId,sinifIsmi,dersId,dersNo,dersKodu,dersIsmi,uniteId,uniteNo,uniteIsmi,kazanimId,kazanimNo,kazanimKod,kazanimIsmi,pdfId,pdfBaslik,pdfLink
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3472,2,10.1.1.2.,10.1.1.2.- Mitozu açıklar.,5zbwbm0ojyi.pdf,TELOFAZI KAVRAYALIM,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/5zbwbm0ojyi.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3472,2,10.1.1.2.,10.1.1.2.- Mitozu açıklar.,qphon34gljy.pdf,KROSSING OVER,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/qphon34gljy.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3472,2,10.1.1.2.,10.1.1.2.- Mitozu açıklar.,1x3cqgvbxoh.pdf,NEDEN FARKLIYIZ,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/1x3cqgvbxoh.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3472,2,10.1.1.2.,10.1.1.2.- Mitozu açıklar.,3dtmh0jlzq4.pdf,MAYOZUN İKİNCİ AŞAMASI,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/3dtmh0jlzq4.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3472,2,10.1.1.2.,10.1.1.2.- Mitozu açıklar.,fvd4rf4xumn.pdf,İNSANLARDAKİ ÇEŞİTLİLİK,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/fvd4rf4xumn.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3473,3,10.1.1.3.,10.1.1.3.- Eşeysiz üremeyi örneklerle açıklar.,ztyz2gqcqkd.pdf,KENDİ ÇİÇEĞİMİZİ ÜRETELİM,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/ztyz2gqcqkd.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3473,3,10.1.1.3.,10.1.1.3.- Eşeysiz üremeyi örneklerle açıklar.,snr2htibkfi.pdf,TÜM CANLILAR BÖLÜNEREK Mİ ÜRER?,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/snr2htibkfi.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3473,3,10.1.1.3.,10.1.1.3.- Eşeysiz üremeyi örneklerle açıklar.,ldn52msvpat.pdf,TOMURCUKLANMA,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/ldn52msvpat.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3473,3,10.1.1.3.,10.1.1.3.- Eşeysiz üremeyi örneklerle açıklar.,pg3sgsbwti4.pdf,TÜRK BİLİM İNSANININ YENİ UMUDU: AKSOLOTL,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/pg3sgsbwti4.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3473,3,10.1.1.3.,10.1.1.3.- Eşeysiz üremeyi örneklerle açıklar.,53ydlkrlfzm.pdf,DİŞİL ÜREME,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/53ydlkrlfzm.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3473,3,10.1.1.3.,10.1.1.3.- Eşeysiz üremeyi örneklerle açıklar.,nxb34agsqey.pdf,EKMEKLERIN RENKLI DÜNYASI,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/nxb34agsqey.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3473,3,10.1.1.3.,10.1.1.3.- Eşeysiz üremeyi örneklerle açıklar.,sf1mprvv4zf.pdf,HIZLI ÜRETİM,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/sf1mprvv4zf.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3473,3,10.1.1.3.,10.1.1.3.- Eşeysiz üremeyi örneklerle açıklar.,oiqt35t51ss.pdf,MEYVE AĞAÇLARINDA AŞILAMA TEKNİĞİ,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/oiqt35t51ss.pdf
