baslik,pdfId,pdfLink,videoId,playlistId,time,videoLink
İngilizce,pgu1wt52von.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/pgu1wt52von.pdf,lQijqKB9Ng4,PLUYa52_9xFS8NaMFChKgUUUCo9r9raX6m,54,https://youtu.be/lQijqKB9Ng4?list=PLUYa52_9xFS8NaMFChKgUUUCo9r9raX6m&t=54
İngilizce,d3bdsmejpk2.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/d3bdsmejpk2.pdf,tvunuL8W-8s,PLUYa52_9xFS8NaMFChKgUUUCo9r9raX6m,,https://youtu.be/tvunuL8W-8s?list=PLUYa52_9xFS8NaMFChKgUUUCo9r9raX6m
İngilizce,xg0kbi5nk2x.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/xg0kbi5nk2x.pdf,JNwYjd1VO5E,PLUYa52_9xFS8NaMFChKgUUUCo9r9raX6m,,https://youtu.be/JNwYjd1VO5E?list=PLUYa52_9xFS8NaMFChKgUUUCo9r9raX6m
İngilizce,cby2eouyzmk.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/cby2eouyzmk.pdf,xOjVC-EbaEE,PLUYa52_9xFS8NaMFChKgUUUCo9r9raX6m,,https://youtu.be/xOjVC-EbaEE?list=PLUYa52_9xFS8NaMFChKgUUUCo9r9raX6m
İngilizce,1iy0w15le1m.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/1iy0w15le1m.pdf,8NwGbj0RjKo,PLUYa52_9xFS8NaMFChKgUUUCo9r9raX6m,,https://youtu.be/8NwGbj0RjKo?list=PLUYa52_9xFS8NaMFChKgUUUCo9r9raX6m
İngilizce,avull0xbdjz.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/avull0xbdjz.pdf,hwSYcxGV9Pc,,2,https://youtu.be/hwSYcxGV9Pc?t=2
Kimya,bbrllddnyga.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/bbrllddnyga.pdf,3i_0sDQGnqw,PLUYa52_9xFS-sl3wpIlptEGNdiwbClTEl,111,https://youtu.be/3i_0sDQGnqw?list=PLUYa52_9xFS-sl3wpIlptEGNdiwbClTEl&t=111
Kimya,ibeya3g4gy3.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/ibeya3g4gy3.pdf,luzM6dcWebQ,PLUYa52_9xFS-sl3wpIlptEGNdiwbClTEl,109,https://youtu.be/luzM6dcWebQ?list=PLUYa52_9xFS-sl3wpIlptEGNdiwbClTEl&t=109
Kimya,oreksafhj0t.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/oreksafhj0t.pdf,DA4ye4-yP_o,PLUYa52_9xFS-sl3wpIlptEGNdiwbClTEl,107,https://youtu.be/DA4ye4-yP_o?list=PLUYa52_9xFS-sl3wpIlptEGNdiwbClTEl&t=107
Kimya,jklihfxkext.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/jklihfxkext.pdf,JIddWrPJumM,PLUYa52_9xFS-sl3wpIlptEGNdiwbClTEl,,https://youtu.be/JIddWrPJumM?list=PLUYa52_9xFS-sl3wpIlptEGNdiwbClTEl
Kimya,krx5wwg0rdh.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/krx5wwg0rdh.pdf,c2r4UA60wIw,PLUYa52_9xFS-sl3wpIlptEGNdiwbClTEl,,https://youtu.be/c2r4UA60wIw?list=PLUYa52_9xFS-sl3wpIlptEGNdiwbClTEl
Kimya,djwppjomdn5.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/djwppjomdn5.pdf,7_XPmzOZLNY,PLUYa52_9xFS-sl3wpIlptEGNdiwbClTEl,,https://youtu.be/7_XPmzOZLNY?list=PLUYa52_9xFS-sl3wpIlptEGNdiwbClTEl
Kimya,xxdkz5he35h.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/xxdkz5he35h.pdf,IoNA2ukJykY,PLUYa52_9xFS-sl3wpIlptEGNdiwbClTEl,,https://youtu.be/IoNA2ukJykY?list=PLUYa52_9xFS-sl3wpIlptEGNdiwbClTEl
Kimya,knbdhpz1pj4.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/knbdhpz1pj4.pdf,d_W-7Kix_2M,PLUYa52_9xFS-sl3wpIlptEGNdiwbClTEl,,https://youtu.be/d_W-7Kix_2M?list=PLUYa52_9xFS-sl3wpIlptEGNdiwbClTEl
Kimya,z04nhm0alzl.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/z04nhm0alzl.pdf,SUs8baRmqYI,PLUYa52_9xFS-sl3wpIlptEGNdiwbClTEl,,https://youtu.be/SUs8baRmqYI?list=PLUYa52_9xFS-sl3wpIlptEGNdiwbClTEl
Kimya,ucmcdo1cxtb.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/ucmcdo1cxtb.pdf,UgH-xCm3XPE,PLUYa52_9xFS-sl3wpIlptEGNdiwbClTEl,,https://youtu.be/UgH-xCm3XPE?list=PLUYa52_9xFS-sl3wpIlptEGNdiwbClTEl
Kimya,2mi1sglbvkp.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/2mi1sglbvkp.pdf,6J-JnEVDLPQ,PLUYa52_9xFS-sl3wpIlptEGNdiwbClTEl,,https://youtu.be/6J-JnEVDLPQ?list=PLUYa52_9xFS-sl3wpIlptEGNdiwbClTEl
Kimya,t20zs0qcy22.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/t20zs0qcy22.pdf,GSlQGfeN5MI,PLUYa52_9xFS-sl3wpIlptEGNdiwbClTEl,,https://youtu.be/GSlQGfeN5MI?list=PLUYa52_9xFS-sl3wpIlptEGNdiwbClTEl
Kimya,d4prx0h3fis.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/d4prx0h3fis.pdf,A2zafuiFEec,PLUYa52_9xFS-sl3wpIlptEGNdiwbClTEl,,https://youtu.be/A2zafuiFEec?list=PLUYa52_9xFS-sl3wpIlptEGNdiwbClTEl
Kimya,or1l1m2q04s.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/or1l1m2q04s.pdf,DrD7t81gZvY,PLUYa52_9xFS-sl3wpIlptEGNdiwbClTEl,162,https://youtu.be/DrD7t81gZvY?list=PLUYa52_9xFS-sl3wpIlptEGNdiwbClTEl&t=162
Kimya,pbk4hqmry3x.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/pbk4hqmry3x.pdf,V6wOUeFMUI8,PLUYa52_9xFS-sl3wpIlptEGNdiwbClTEl,,https://youtu.be/V6wOUeFMUI8?list=PLUYa52_9xFS-sl3wpIlptEGNdiwbClTEl
Kimya,ouorjzevxy5.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/ouorjzevxy5.pdf,X9GRuelaOLw,PLUYa52_9xFS-sl3wpIlptEGNdiwbClTEl,,https://youtu.be/X9GRuelaOLw?list=PLUYa52_9xFS-sl3wpIlptEGNdiwbClTEl
Matematik (AYT),mznv4a5i1m1.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/mznv4a5i1m1.pdf,IlsiJpkDebU,PLUYa52_9xFS9Pry7cJR8pe0LCS3EL6kmB,111,https://youtu.be/IlsiJpkDebU?list=PLUYa52_9xFS9Pry7cJR8pe0LCS3EL6kmB&t=111
Matematik (AYT),ew4gqfikqv0.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/ew4gqfikqv0.pdf,asUl-AnxPaA,PLUYa52_9xFS9Pry7cJR8pe0LCS3EL6kmB,109,https://youtu.be/asUl-AnxPaA?list=PLUYa52_9xFS9Pry7cJR8pe0LCS3EL6kmB&t=109
