sinifPath,sinifIsmi,dersPath,dersIsmi,flipbookKitapLink,pdfIndirmeLink,zipIndirmeLink,kitapThumbnailLink
ingilizce,11. Sınıf,game-activities,İngilizce,,,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/ses/11.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/ses/11.jpg
ingilizce,12. Sınıf,game-activities,İngilizce,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit1/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit1/12.1.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit1/unit1.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit1/files/thumb/1.jpg
ingilizce,12. Sınıf,game-activities,İngilizce,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit2/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit2/12.2.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit2/unit2.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit2/files/thumb/1.jpg
ingilizce,12. Sınıf,game-activities,İngilizce,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit3/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit3/12.3.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit3/unit3.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit3/files/thumb/1.jpg
ingilizce,12. Sınıf,game-activities,İngilizce,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit4/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit4/12.4.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit4/unit4.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit4/files/thumb/1.jpg
ingilizce,12. Sınıf,game-activities,İngilizce,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit5/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit5/12.5.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit5/unit5.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit5/files/thumb/1.jpg
ingilizce,12. Sınıf,game-activities,İngilizce,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit6/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit6/12.6.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit6/unit6.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit6/files/thumb/1.jpg
ingilizce,12. Sınıf,game-activities,İngilizce,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit7/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit7/12.7.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit7/unit7.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit7/files/thumb/1.jpg
ingilizce,12. Sınıf,game-activities,İngilizce,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit8/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit8/12.8.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit8/unit8.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit8/files/thumb/1.jpg
ingilizce,12. Sınıf,game-activities,İngilizce,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit9/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit9/12.9.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit9/unit9.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit9/files/thumb/1.jpg
ingilizce,12. Sınıf,game-activities,İngilizce,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit10/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit9/12.10.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit10/unit10.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/12/unit10/files/thumb/1.jpg
ingilizce,12. Sınıf,game-activities,İngilizce,,,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/ses/12.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/ses/12.jpg
almanca,A1.1,almanca,Almanca,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/etkinlik/a11/1/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/etkinlik/a11/1/1.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/etkinlik/a11/1/1.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/etkinlik/a11/1/files/thumb/1.jpg
almanca,A1.1,almanca,Almanca,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/etkinlik/a11/2/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/etkinlik/a11/2/2.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/etkinlik/a11/2/2.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/etkinlik/a11/2/files/thumb/1.jpg
almanca,A1.1,almanca,Almanca,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/etkinlik/a11/3/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/etkinlik/a11/3/3.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/etkinlik/a11/3/3.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/etkinlik/a11/3/files/thumb/1.jpg
almanca,A1.1,almanca,Almanca,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/etkinlik/a11/4/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/etkinlik/a11/4/4.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/etkinlik/a11/4/4.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/etkinlik/a11/4/files/thumb/1.jpg
almanca,A1.1,almanca,Almanca,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/etkinlik/a11/5/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/etkinlik/a11/5/5.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/etkinlik/a11/5/5.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/etkinlik/a11/5/files/thumb/1.jpg
almanca,A1.1,almanca,Almanca,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/etkinlik/a11/6/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/etkinlik/a11/6/6.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/etkinlik/a11/6/6.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/etkinlik/a11/6/files/thumb/1.jpg
almanca,A1.1,almanca,Almanca,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/etkinlik/a11/7/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/etkinlik/a11/7/7.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/etkinlik/a11/7/7.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/etkinlik/a11/7/files/thumb/1.jpg
almanca,A1.1,almanca,Almanca,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/etkinlik/a11/8/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/etkinlik/a11/8/8.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/etkinlik/a11/8/8.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/etkinlik/a11/8/files/thumb/1.jpg
almanca,A1.1,almanca,Almanca,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/etkinlik/a11/a11/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/etkinlik/a11/a11/a11.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/etkinlik/a11/a11.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/etkinlik/a11/a11/files/thumb/1.jpg
